Zip_Code,Year,Month,SNAP_Recipients,SNAP_AUs,SNAP_FT_11,TAFDC_Recipients,TAFDC_AUs,TAFDC_FT_11,EAEDC_Recipients,EAEDC_AUs,EAEDC_FT_11
02138,2017,8,741,467,No,,,,,,
02139,2017,8,2721,1777,No,,,,,,
02140,2017,8,1657,1002,No,,,,,,
02141,2017,8,984,676,No,,,,,,
02142,2017,8,73,52,No,,,,,,
02138,2017,9,750,473,No,,,,,,
02139,2017,9,2720,1774,No,,,,,,
02140,2017,9,1650,1001,No,,,,,,
02141,2017,9,982,672,No,,,,,,
02142,2017,9,73,51,No,,,,,,
02138,2017,10,763,477,No,36,19,No,36,36,No
02139,2017,10,2773,1800,No,148,64,No,95,95,No
02140,2017,10,1674,1013,No,53,32,No,117,117,No
02141,2017,10,967,667,No,28,21,No,38,38,No
02142,2017,10,75,50,No,0,0,Yes,0,0,Yes
02138,2017,11,770,486,No,46,21,No,35,37,No
02139,2017,11,2800,1817,No,144,65,No,95,96,No
02140,2017,11,1680,1017,No,58,30,No,113,114,No
02141,2017,11,956,671,No,27,24,No,40,40,No
02142,2017,11,73,49,No,0,0,Yes,0,0,Yes
02138,2017,12,759,476,No,33,18,No,35,35,No
02139,2017,12,2794,1810,No,137,67,No,91,91,No
02140,2017,12,1664,1020,No,66,36,No,118,118,No
02141,2017,12,965,674,No,36,24,No,44,44,No
02142,2017,12,77,50,No,0,0,Yes,0,0,Yes
02138,2018,1,711,454,No,39,21,No,33,33,No
02139,2018,1,2812,1814,No,161,67,No,91,91,No
02140,2018,1,1683,1018,No,62,33,No,125,114,No
02141,2018,1,937,661,No,30,22,No,42,42,No
02142,2018,1,75,53,No,0,0,Yes,0,0,Yes
02138,2018,2,743,474,No,31,16,No,37,37,No
02139,2018,2,2766,1797,No,128,65,No,92,92,No
02140,2018,2,1664,1027,No,60,34,No,116,116,No
02141,2018,2,958,671,No,33,24,No,36,36,No
02142,2018,2,79,52,No,0,0,Yes,0,0,Yes
02138,2018,3,737,469,No,33,18,No,36,36,No
02139,2018,3,2758,1807,No,148,69,No,96,96,No
02140,2018,3,1651,1020,No,55,33,No,114,114,No
02141,2018,3,950,666,No,41,21,No,39,39,No
02142,2018,3,82,53,No,0,0,Yes,0,0,Yes
02138,2018,4,716,458,No,29,16,No,30,30,No
02139,2018,4,2731,1802,No,145,62,No,90,90,No
02140,2018,4,1670,1019,No,51,29,No,119,119,No
02141,2018,4,950,666,No,28,21,No,43,43,No
02142,2018,4,81,52,No,0,0,Yes,0,0,Yes
02138,2018,5,710,450,No,29,16,No,31,31,No
02139,2018,5,2761,1817,No,152,70,No,93,93,No
02140,2018,5,1678,1022,No,59,24,No,119,119,No
02141,2018,5,948,669,No,33,22,No,41,41,No
02142,2018,5,79,51,No,0,0,Yes,0,0,Yes
02138,2018,6,708,451,No,35,15,No,32,32,No
02139,2018,6,2758,1825,No,155,63,No,92,92,No
02140,2018,6,1693,1039,No,38,23,No,123,123,No
02141,2018,6,937,666,No,29,20,No,41,41,No
02142,2018,6,80,50,No,0,0,Yes,0,0,Yes
02138,2018,7,710,447,No,34,18,No,28,28,No
02139,2018,7,2768,1820,No,165,64,No,93,93,No
02140,2018,7,1702,1041,No,48,27,No,126,113,No
02141,2018,7,916,645,No,30,21,No,41,41,No
02142,2018,7,82,51,No,0,0,Yes,0,0,Yes
02138,2018,8,722,452,No,40,20,No,28,28,No
02139,2018,8,2786,1833,No,144,59,No,103,92,No
02140,2018,8,1662,1018,No,46,25,No,112,112,No
02141,2018,8,926,653,No,37,25,No,41,41,No
02142,2018,8,84,52,No,0,0,Yes,0,0,Yes
02138,2018,9,695,441,No,36,17,No,27,27,No
02139,2018,9,2789,1839,No,145,67,No,98,98,No
02140,2018,9,1650,1016,No,43,25,No,105,105,No
02141,2018,9,923,644,No,35,24,No,36,36,No
02142,2018,9,85,53,No,0,0,Yes,0,0,Yes
02138,2018,10,694,443,No,37,17,No,30,30,No
02139,2018,10,2780,1845,No,154,64,No,104,104,No
02140,2018,10,1690,1032,No,53,30,No,118,105,No
02141,2018,10,884,630,No,32,21,No,35,35,No
02142,2018,10,82,52,No,0,0,Yes,0,0,Yes
02138,2018,11,711,448,No,32,15,No,29,29,No
02139,2018,11,2836,1880,No,165,70,No,114,114,No
02140,2018,11,1674,1022,No,54,31,No,105,105,No
02141,2018,11,861,620,No,33,22,No,30,30,No
02142,2018,11,90,54,No,0,0,Yes,0,0,Yes
02138,2018,12,701,438,No,36,17,No,28,28,No
02139,2018,12,2859,1889,No,167,65,No,117,117,No
02140,2018,12,1670,1016,No,53,30,No,109,109,No
02141,2018,12,873,623,No,40,25,No,29,29,No
02142,2018,12,88,54,No,0,0,Yes,0,0,Yes
02138,2019,1,717,454,No,16,35,No,27,27,No
02139,2019,1,2849,1884,No,69,176,No,114,114,No
02140,2019,1,1653,1011,No,28,60,No,107,107,No
02141,2019,1,866,620,No,25,39,No,34,34,No
02142,2019,1,91,56,No,0,0,Yes,0,0,Yes
02138,2019,2,700,444,No,32,15,No,25,25,No
02139,2019,2,2847,1883,No,179,70,No,123,112,No
02140,2019,2,1636,999,No,47,28,No,110,110,No
02141,2019,2,858,612,No,37,24,No,32,32,No
02142,2019,2,93,57,No,0,0,Yes,0,0,Yes
02138,2019,3,684,440,No,36,16,No,25,25,No
02139,2019,3,2859,1893,No,176,70,No,110,110,No
02140,2019,3,1620,992,No,54,26,No,112,112,No
02141,2019,3,869,612,No,33,21,No,30,30,No
02142,2019,3,95,60,No,0,0,Yes,0,0,Yes
02138,2019,4,714,465,No,35,16,No,24,24,No
02139,2019,4,2863,1895,No,183,73,No,112,101,No
02140,2019,4,1635,1000,No,37,24,No,111,111,No
02141,2019,4,877,621,No,39,24,No,28,28,No
02142,2019,4,89,57,No,0,0,Yes,0,0,Yes
02138,2019,5,704,461,No,44,16,No,25,25,No
02139,2019,5,2834,1884,No,190,72,No,104,104,No
02140,2019,5,1666,1012,No,64,30,No,111,111,No
02141,2019,5,880,619,No,42,25,No,33,33,No
02142,2019,5,92,57,No,0,0,Yes,0,0,Yes
02138,2019,6,700,463,No,59,21,No,23,23,No
02139,2019,6,2907,1915,No,184,76,No,106,106,No
02140,2019,6,1664,1026,No,63,30,No,106,106,No
02141,2019,6,905,627,No,42,24,No,31,31,No
02142,2019,6,88,56,No,0,0,Yes,0,0,Yes
02138,2019,7,697,459,No,61,21,No,26,26,No
02139,2019,7,2884,1901,No,201,74,No,108,108,No
02140,2019,7,1653,1022,No,67,31,No,108,108,No
02141,2019,7,876,617,No,42,24,No,32,32,No
02142,2019,7,92,57,No,0,0,Yes,0,0,Yes
02138,2019,8,700,463,No,59,20,No,23,23,No
02139,2019,8,2907,1915,No,208,77,No,107,107,No
02140,2019,8,1664,1026,No,75,34,No,105,105,No
02141,2019,8,905,627,No,47,23,No,33,33,No
02142,2019,8,88,56,No,0,0,Yes,0,0,Yes
02138,2019,9,693,465,No,61,20,No,27,27,No
02139,2019,9,2926,1933,No,197,73,No,108,108,No
02140,2019,9,1662,1022,No,71,33,No,96,96,No
02141,2019,9,879,622,No,53,25,No,32,32,No
02142,2019,9,84,54,No,0,0,Yes,0,0,Yes
02138,2019,10,705,460,No,61,21,No,27,27,No
02139,2019,10,2939,1949,No,189,77,No,109,109,No
02140,2019,10,1680,1032,No,76,34,No,100,100,No
02141,2019,10,875,614,No,59,28,No,31,31,No
02142,2019,10,97,58,No,0,0,Yes,0,0,Yes
02138,2019,11,732,475,No,57,20,No,25,25,No
02139,2019,11,2878,1930,No,204,80,No,105,105,No
02140,2019,11,1663,1029,No,69,32,No,102,102,No
02141,2019,11,874,617,No,45,24,No,30,30,No
02142,2019,11,105,61,No,0,0,Yes,0,0,Yes
02138,2019,12,743,488,No,61,22,No,27,27,No
02139,2019,12,2850,1910,No,214,78,No,106,106,No
02140,2019,12,1691,1041,No,67,30,No,103,103,No
02141,2019,12,882,618,No,40,22,No,28,28,No
02142,2019,12,107,56,No,0,0,Yes,0,0,Yes
02138,2020,1,744,490,No,73,19,No,29,29,No
02139,2020,1,2829,1912,No,206,83,No,109,109,No
02140,2020,1,1659,1033,No,73,29,No,108,108,No
02141,2020,1,865,618,No,39,21,No,25,25,No
02142,2020,1,96,57,No,0,0,Yes,0,0,Yes
02138,2020,2,737,487,No,58,19,No,31,31,No
02139,2020,2,2840,1919,No,178,75,No,107,107,No
02140,2020,2,1662,1028,No,55,26,No,105,105,No
02141,2020,2,867,620,No,41,22,No,27,27,No
02142,2020,2,100,60,No,0,0,Yes,0,0,Yes
02138,2020,3,,,,62,19,No,32,32,No
02139,2020,3,,,,173,73,No,111,111,No
02140,2020,3,,,,52,24,No,107,107,No
02141,2020,3,,,,41,22,No,27,27,No
02142,2020,3,,,,0,0,Yes,0,0,Yes
02138,2020,4,,,,62,19,No,35,35,No
02139,2020,4,,,,192,79,No,111,111,No
02140,2020,4,,,,67,30,No,110,110,No
02141,2020,4,,,,52,25,No,26,26,No
02142,2020,4,,,,0,0,Yes,0,0,Yes
